cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75,ref_smiles,shape_tanimoto,color_tanimoto,combo_tanimoto,pred
53326580,[2-(4-methoxyphenyl)-3H-benzimidazol-5-yl]methanamine,COC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)CN,C15H15N3O,3,2,3,2.6972,253.1215121,19,63.92999999999999,0.2972000625684343,0,Alta,0.888,0.3103448275862069,0.9409202683640338,0.783276408169577,NC(=N)NC1=CC2=C(NC(=N2)C2=CC=C(C=C2)C2=CC=CC=C2)C=C1,0.6462,0.4284,1.0745,1.4093971
15435186,2-(4-phenylphenyl)-3H-benzimidazole-5-carboxamidine,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C(=N)N,C20H16N4,2,3,3,4.180970000000003,312.137496512,24,78.55,0.305537873965627,0,Alta,0.886,0.5625,0.996928387541978,0.8883212906564835,NC(=N)NC1=CC2=C(NC(=N2)C2=CC=C(C=C2)C2=CC=CC=C2)C=C1,0.7939,0.4997,1.2936,1.3933424
43829000,2-(m-tolyl)-6-nitro-1H-benzimidazole,CC1=CC(=CC=C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C14H11N3O2,3,1,2,3.446520000000002,253.085126592,19,71.82,0.2645502645502646,0,Alta,0.886,0.4181818181818181,0.9750995006347414,0.8358700800215105,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7632,0.5352,1.2984,1.5119233
72949168,N-[3-(1H-benzimidazol-2-yl)-4-chloro-phenyl]-4-(4-fluorophenyl)benzamide,C1=CC=C2C(=C1)NC(=N2)C3=C(C=CC(=C3)NC(=O)C4=CC=C(C=C4)C5=CC=C(C=C5)F)Cl,C26H17ClFN3O,2,2,4,6.941700000000004,441.104418064,32,57.78,0.5538248528902734,1,Alta,0.882,0.6140350877192983,0.9913100264835524,0.8969912917924888,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,0.7463,0.8801,1.6264,1.5641192
135391692,N-(4-chlorophenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,C1=CC(=CC=C1NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Cl,C18H11ClN4O4,5,2,4,4.636800000000002,382.046882512,27,114.06,0.2367175170962651,0,Alta,0.882,0.4918032786885246,0.9669212214250984,0.848141735740955,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.6415,0.3184,0.9599,1.0856038
57395124,6-nitro-2-(3-thienyl)-1H-benzimidazole,C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)C3=CSC=C3,C11H7N3O2S,4,1,2,3.199600000000001,245.025897464,17,71.82,0.2367028682818156,0,Alta,0.882,0.3275862068965517,0.9927618441500436,0.8264679348366706,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.886,0.5107,1.3967,1.5208375
103597103,6-bromo-2-(3-nitrophenyl)-1H-benzimidazole,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)Br,C13H8BrN3O2,3,1,2,3.900600000000001,316.979988596,19,71.82,0.2645502645502646,0,Alta,0.882,0.3220338983050847,0.9447394924703602,0.7890630939290413,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7863,0.6803,1.4666,1.4792938
164576215,2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-6-fluoro-1H-benzimidazole,C1=CC2=C(C=C1F)NC(=N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C12H9ClFN5O2,5,1,4,2.712500000000001,309.042880428,21,89.64,0.2342704149933065,0,Alta,0.882,0.2985074626865671,0.9533699714429048,0.7896543442538204,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.6877,0.5622,1.2498,1.2728591
1085293,[4-[[3-(1H-benzimidazol-2-yl)phenyl]carbamoyl]-2-methoxy-phenyl] acetate,CC(=O)OC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3)OC,C23H19N3O4,5,2,5,4.416100000000004,401.1375560880001,30,93.31000000000002,0.3215089486657378,0,Alta,0.88,0.6551724137931034,0.8784881056276754,0.8226591826690324,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,0.8002,0.75,1.5502,1.4087454
794743,6-methyl-2-(3-nitrophenyl)-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC(=CC=C3)[N+](=O)[O-],C14H11N3O2,3,1,2,3.446520000000002,253.085126592,19,71.82,0.2645502645502646,0,Alta,0.88,0.4444444444444444,0.9750995006347414,0.8424357365871671,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7465,0.7501,1.4966,1.52905
