cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
66937239,1-(5-acetamido-6-chloro-1H-benzimidazol-2-yl)pyrazole-4-carboxylic acid,CC(=O)NC1=C(C=C2C(=C1)N=C(N2)N3C=C(C=N3)C(=O)O)Cl,C13H10ClN5O3,5,3,3,2.0586,319.04721685999993,22,112.9,0.1948627103631532,0,0.8800177549967751,0.16216216216216217,0.700553856788122
71344812,1-methyl-2-(6-methyl-2-pyridyl)benzimidazole,CC1=NC(=CC=C1)C2=NC3=CC=CC=C3N2C,C14H13N3,3,0,1,2.943720000000001,223.110947416,17,30.71,0.5535656138065776,0,0.8357598752744206,0.13333333333333333,0.6601532397891489
102268663,[5-(1H-benzimidazol-2-yl)-2-furyl]methanol,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(O3)CO,C12H10N2O2,3,2,2,2.3152000000000004,214.07422756,16,62.05,0.257856567284448,0,0.8926231073371114,0.3584905660377358,0.7590899720122676
12704358,"4,6-dichloro-2-(5-methyl-2-furyl)-1H-benzimidazole",CC1=CC=C(O1)C2=NC3=C(N2)C=C(C=C3Cl)Cl,C12H8Cl2N2O,2,1,1,4.4381200000000005,266.00136823599996,17,41.82,0.4065040650406504,0,0.827763800567973,0.34545454545454546,0.7071864867896163
13971341,2-(2-furyl)-7-methyl-3H-benzimidazol-4-ol,CC1=C2C(=C(C=C1)O)NC(=N2)C3=CC=CO3,C12H10N2O2,3,2,1,2.83692,214.07422756,16,62.05,0.257856567284448,0,0.9040158962505642,0.21311475409836064,0.7312906107125133
49747,2-(6-ethyl-2-pyridyl)-1H-benzimidazole,CCC1=NC(=CC=C1)C2=NC3=CC=CC=C3N2,C14H13N3,2,1,2,3.187300000000002,223.110947416,17,41.57,0.4089487611258118,0,0.890701328170113,0.24561403508771928,0.7294295048995145
3556705,1-(6-methyl-1H-benzimidazol-2-yl)piperidine-4-carboxylic acid,CC1=CC2=C(C=C1)N=C(N2)N3CCC(CC3)C(=O)O,C14H17N3O2,3,2,2,2.1723199999999996,259.132076784,19,69.22,0.2744871424443802,0,0.900439933003802,0.25396825396825395,0.738822013244915
6991896,2-pyrrolidin-1-yl-1H-benzimidazole,C1CCN(C1)C2=NC3=CC=CC=C3N2,C11H13N3,2,1,1,2.1631,187.110947416,14,31.92,0.4385964912280701,0,0.8507080312482938,0.17857142857142858,0.6826738805790774
2757924,2-(3-chloro-2-thienyl)-3H-benzimidazole-5-carboxylic acid,C1=CC2=C(C=C1C(=O)O)NC(=N2)C3=C(C=CS3)Cl,C12H7ClN2O2S,3,2,2,3.6430000000000007,277.991676144,18,65.97999999999999,0.2728099424067899,0,0.9309234381265592,0.21875,0.7528800785949195
2871507,5-(1-methylbenzimidazol-2-yl)furan-2-sulfonic acid,CN1C2=CC=CC=C2N=C1C3=CC=C(O3)S(=O)(=O)O,C12H10N2O4S,5,1,2,2.08,278.0361278,19,85.33,0.2226649478495253,0,0.9488957415311602,0.20634920634920634,0.7632591077356717
