cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
1608247,4-bromo-2-[[(3-decyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenol,CCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)O,C24H33BrN3O+,2,3,12,6.676300000000007,458.18015119609,29,51.92999999999999,0.5584440593106105,1,0.7874275535814046,0.390625,0.6882269151860534
2901315,2-[[(1-butylbenzimidazol-2-yl)amino]methyl]phenol,CCCCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3O,C18H21N3O,4,2,6,4.154100000000003,295.168462292,22,50.08,0.4392971246006389,0,0.98186560678583,0.5283018867924528,0.8684746767874857
2583692,N-(1H-benzimidazol-2-yl)-3-iodo-benzamide,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=CC(=CC=C3)I,C14H10IN3O,2,2,2,3.4198000000000013,362.98685994,19,57.78,0.3288335064035999,0,0.8948142283730449,0.18181818181818182,0.716565216734329
2976105,1-ethyl-N-(4-pyridylmethyl)benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=NC=C3,C15H16N4,4,1,4,3.063300000000001,252.137496512,19,42.74,0.4445484323818436,0,0.9477084759977006,0.3888888888888889,0.8080035792204977
3285776,4-bromo-2-[[(1-heptylbenzimidazol-2-yl)amino]methyl]phenol,CCCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C21H26BrN3O,4,2,9,6.086900000000005,415.125924552,26,50.08,0.5191693290734825,1,0.9261926534251789,0.7115384615384616,0.8725291054534996
3511631,1-ethyl-N-(2-morpholinoethyl)benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCCN3CCOCC3,C15H22N4O,5,1,5,1.8002999999999998,274.179361324,20,42.32000000000001,0.4725897920604914,0,0.9008611509549413,0.32786885245901637,0.7576130763309601
3287580,"2-[(1H-benzimidazol-3-ium-2-ylamino)methyl]-4,6-dichloro-phenolate",C1=CC=C2C(=C1)NC(=[NH+]2)NCC3=C(C(=CC(=C3)Cl)Cl)[O-],C14H11Cl2N3O,2,2,3,2.9745,307.02791733199996,20,65.02,0.3075976622577668,0,0.8858786368282356,0.17647058823529413,0.7085266246800003
923802,N-benzyl-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C15H15N3,3,1,3,3.1854000000000013,237.12659748,18,29.85,0.6030150753768844,0,0.9672855417290447,0.5555555555555556,0.8643530451856725
7013067,N-[(4-chlorophenyl)methyl]-1-ethyl-benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,C16H16ClN3,3,1,4,4.3217000000000025,285.10327519199996,20,29.85,0.6700167504187604,0,0.9473913355664711,0.38181818181818183,0.8059980471293988
2901591,4-chloro-2-[1-[(1-methylbenzimidazol-2-yl)amino]ethyl]phenol,CC(C1=C(C=CC(=C1)Cl)O)NC2=NC3=CC=CC=C3N2C,C16H16ClN3O,4,2,3,4.105400000000002,301.09818981200004,21,50.08,0.4193290734824281,0,0.9960089839614394,0.44642857142857145,0.8586138808282225
