cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_25,combined_50,combined_75,combined_geometric,combined_harmonic
49803861,N-(6-phenyl-1H-benzimidazol-2-yl)isoquinoline-3-carboxamide,C1=CC=C(C=C1)C2=CC3=C(C=C2)N=C(N3)NC(=O)C4=CC5=CC=CC=C5C=N4,C23H16N4O,3,2,3,5.030400000000003,364.132411132,28,70.67,0.3962077260506579,1,0.6785217646367426,0.4482758620689655,0.5058373377109098,0.563398813352854,0.6209602889947983,0.5515114948712234,0.5398749904441038
166454505,"8-[(4-methylpiperazin-1-yl)methyl]-3,5,12,18,24-pentazatetracyclo[18.3.1.04,12.06,11]tetracosa-1(23),4,6(11),7,9,20(24),21-heptaene-2,19-dione",CN1CCN(CC1)CC2=CC3=C(C=C2)N4CCCCCNC(=O)C5=NC(=CC=C5)C(=O)NC4=N3,C25H31N7O2,7,2,2,2.3446999999999996,461.253923232,34,95.39,0.3564314917706258,0,0.40572213890171227,0.1566265060240964,0.21890041424350037,0.2811743224629043,0.3434482306823083,0.25208498771802795,0.2260051361595514
166454218,methyl 6-[[1-[5-(tert-butoxycarbonylamino)pentyl]-5-[(4-methylpiperazin-1-yl)methyl]benzimidazol-2-yl]carbamoyl]pyridine-2-carboxylate,CC(C)(C)OC(=O)NCCCCCN1C2=C(C=C(C=C2)CN3CCN(CC3)C)N=C1NC(=O)C4=NC(=CC=C4)C(=O)OC,C31H43N7O5,10,2,11,3.912600000000003,593.3325674760001,43,130.92,0.3284448518179041,1,0.2751101426932922,0.1935483870967742,0.2139388259959037,0.2343292648950332,0.2547197037941627,0.23075338435708825,0.2272320719996366
137921161,N-(5-cyano-1-ethyl-benzimidazol-2-yl)-3-methyl-pyridine-2-carboxamide,CCN1C2=C(C=C(C=C2)C#N)N=C1NC(=O)C3=C(C=CC=N3)C,C17H15N5O,5,1,3,2.8836000000000013,305.12766010000007,23,83.60000000000001,0.2751196172248804,0,0.24926047023717113,0.28169014084507044,0.2735827231930956,0.26547530554112075,0.25736788788914594,0.264979653875948,0.26448492760974107
58190884,N-[6-methyl-4-[2-(3H-pyrrol-2-yl)acetyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CC1=CC(=C2C(=C1)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3)C(=O)CC5=NC=CC5,C24H19N5O2,5,2,5,4.6030200000000026,409.153874848,31,100.1,0.3096903096903096,0,0.5825464291830456,0.3888888888888889,0.4373032739624281,0.4857176590359672,0.5341320441095064,0.4759683115199838,0.4664146533622504
58190895,"N-[6-[2-(1,3-benzothiazol-2-yl)acetyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide",C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)CC5=NC6=CC=CC=C6S5,C26H17N5O2S,6,2,5,5.398500000000003,463.1102957840001,34,100.63,0.3378714101162675,1,0.5122450272613848,0.38571428571428573,0.4173469711010605,0.4489796564878352,0.48061234187461,0.44449997165446464,0.44006498277984474
43057409,4-chloro-N-[1-(2-furylmethyl)-5-(trifluoromethyl)benzimidazol-2-yl]pyridine-2-carboxamide,C1=COC(=C1)CN2C3=C(C=C(C=C3)C(F)(F)F)N=C2NC(=O)C4=NC=CC(=C4)Cl,C19H12ClF3N4O2,5,1,4,4.997100000000002,420.060087964,29,72.95,0.3975325565455792,0,0.2357771772184304,0.24358974358974358,0.24163660199691528,0.239683460404087,0.2377303188112587,0.23965162662279385,0.2396197970695339
58026354,N-[6-(thiazol-2-ylcarbamoyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)NC5=NC=CS5,C21H14N6O2S,6,3,4,4.072200000000001,414.089894688,30,112.66,0.2662879460323096,0,0.7738224164625948,0.4090909090909091,0.5002737859338305,0.5914566627767519,0.6826395396196734,0.5626399522124312,0.5352272376802955
99784040,6-chloro-N-(6-cyano-1-methyl-benzimidazol-2-yl)pyridine-2-carboxamide,CN1C2=C(C=CC(=C2)C#N)N=C1NC(=O)C3=NC(=CC=C3)Cl,C15H10ClN5O,5,1,2,2.745680000000001,311.05738762,22,83.60000000000001,0.2631578947368421,0,0.2465195932481164,0.2878787878787879,0.27753898922112,0.26719919056345215,0.2568593919057843,0.26639775091512985,0.2655987151120758
58026405,N-[4-(1H-imidazol-2-ylcarbamoyl)-6-phenyl-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1=CC=C(C=C1)C2=CC(=C3C(=C2)NC(=N3)NC(=O)C4=CC5=CC=CC=C5C=N4)C(=O)NC6=NC=CN6,C27H19N7O2,5,4,5,5.0058000000000025,473.1600228480001,36,128.45000000000002,0.2802646944336317,1,0.8016146225615426,0.36231884057971014,0.47214278607516824,0.5819667315706264,0.6917906770660844,0.5389249304293132,0.4990664670030074
58026492,N-[4-(1H-imidazol-2-ylcarbamoyl)-6-(trifluoromethyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(C=C(C=C4N3)C(F)(F)F)C(=O)NC5=NC=CN5,C22H14F3N7O2,5,4,4,4.357600000000001,465.11610734800007,34,128.45000000000002,0.2646944336317633,0,0.8197518447612843,0.35714285714285715,0.47279510404746394,0.5884473509520707,0.7040995978566775,0.541080877490762,0.4975271203319922
58724415,methyl 2-(isoquinoline-3-carbonylamino)-6-propyl-1H-benzimidazole-4-carboxylate,CCCC1=CC(=C2C(=C1)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3)C(=O)OC,C22H20N4O3,5,2,5,4.102500000000002,388.1535405,29,96.97,0.299061565432608,0,0.6169428617748249,0.36231884057971014,0.42597484587848883,0.48963085117726757,0.5532868564760463,0.4727896174644521,0.45652765107576
58026364,methyl 6-cyano-2-(isoquinoline-3-carbonylamino)-1H-benzimidazole-4-carboxylate,COC(=O)C1=C2C(=CC(=C1)C#N)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3,C20H13N5O3,6,2,3,3.021680000000001,371.101839276,28,120.76,0.2318648559125538,0,0.6058614096764473,0.3939393939393939,0.44691989787365727,0.4999004018079206,0.552880905742184,0.48854137648637963,0.47744045749119635
52788618,N-[1-(2-furylmethyl)-5-(trifluoromethyl)benzimidazol-2-yl]isoquinoline-1-carboxamide,C1=CC=C2C(=C1)C=CN=C2C(=O)NC3=NC4=C(N3CC5=CC=CO5)C=CC(=C4)C(F)(F)F,C23H15F3N4O2,5,1,4,5.496900000000002,436.11471038,32,72.95,0.4386566141192597,1,0.2310678063813455,0.2073170731707317,0.21325475647338515,0.21919243977603858,0.22513012307869204,0.21887051268492488,0.21854905840688857
58724448,N-[4-[(4-methylsulfonylphenyl)methylcarbamoyl]-6-propyl-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CCCC1=CC(=C2C(=C1)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3)C(=O)NCC5=CC=C(C=C5)S(=O)(=O)C,C29H27N5O4S,6,3,8,4.649400000000003,541.178375344,39,133.91,0.2912403853334329,1,0.584946122441323,0.31645569620253167,0.3835783027622295,0.45070090932192736,0.5178235158816252,0.43024357336064906,0.41071479686303425
