cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_25,combined_50,combined_75,combined_geometric,combined_harmonic,actividad_predicha
3289087,"2,4-dibromo-6-[[(3-heptyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate",CCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)[O-],C21H25Br2N3O,2,2,9,5.636500000000004,493.03643662,27,54.75999999999999,0.4930606281957634,1,0.8790224134075997,0.2328767123287671,0.3944131375984752,0.5559495628681834,0.7174859881378916,0.4524420954085287,0.3682057930607562,Media
42281691,"6-fluoro-N-(2-pyridylmethyl)-1,3-benzothiazol-2-amine",C1=CC=NC(=C1)CNC2=NC3=C(S2)C=C(C=C3)F,C13H10FN3S,4,1,3,3.4425000000000017,259.05794654,18,37.81,0.4760645331922771,0,0.955765525100722,0.1969696969696969,0.3866686540024532,0.5763676110352095,0.7660665680679657,0.4338857520744055,0.326626344452364,Alta
314214,"N-(1,3-benzothiazol-2-yl)-3-hydroxy-naphthalene-2-carboxamide",C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=NC4=CC=CC=C4S3)O,C18H12N2O2S,4,2,2,4.407400000000003,320.06194862399997,23,62.22,0.3696560591449694,0,0.9861920366228474,0.2222222222222222,0.4132146758223785,0.6042071294225348,0.7951995830226911,0.4681386396316675,0.3627130089074626,Media
828725,1-ethyl-N-(2-pyridylmethyl)benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=N3,C15H16N4,4,1,4,3.063300000000001,252.137496512,19,42.74,0.4445484323818436,0,0.9496736539963772,0.3818181818181818,0.5237820498627307,0.6657459179072795,0.8077097859518284,0.6021649839450364,0.5446562391690498,Media
14839,5-bromo-N-(4-bromophenyl)-2-hydroxy-benzamide,C1=CC(=CC=C1NC(=O)C2=C(C=CC(=C2)Br)O)Br,C13H9Br2NO2,2,2,2,4.169500000000001,368.900002728,18,49.33,0.3648895195621326,0,0.9509078976299872,0.2592592592592592,0.4321714188519412,0.6050835784446232,0.7779957380373053,0.4965195637266774,0.4074340900095876,Media
83317559,2-[(1H-benzimidazol-2-ylamino)methyl]-4-fluoro-phenol,C1=CC=C2C(=C1)NC(=N2)NCC3=C(C=CC(=C3)F)O,C14H12FN3O,3,3,3,3.0197000000000007,257.096440224,19,60.94,0.3117820807351493,0,0.9426047288376012,0.3859649122807017,0.5251248664199266,0.6642848205591515,0.8034447746983764,0.6031685929167561,0.5476752444455165,Media
793690,2-[(1-methylbenzimidazol-2-yl)methyleneamino]phenol,CN1C2=CC=CC=C2N=C1C=NC3=CC=CC=C3O,C15H13N3O,4,1,2,3.029500000000002,251.105862036,19,50.41,0.3769093433842492,0,0.9469175938623376,0.3703703703703703,0.5145071762433622,0.6586439821163539,0.8027807879893457,0.5922079195257471,0.5324731258032789,Media
933484,N-[(2-methoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3OC,C16H17N3O,4,1,4,3.1940000000000017,267.137162164,20,39.08,0.5117707267144319,0,0.951562086949636,0.5510204081632653,0.6511558278598579,0.7512912475564506,0.8514266672530433,0.7241064352315044,0.6979052814059035,Media
3736134,"2,4-dibromo-6-[[(1-butylbenzimidazol-2-yl)amino]methyl]phenol",CCCCN1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Br)Br)O,C18H19Br2N3O,4,2,6,5.6791000000000045,450.9894864280001,24,50.08,0.4792332268370607,1,0.9583626876245503,0.543859649122807,0.6474854087482429,0.7511111683736786,0.8547369279991145,0.7219520725255093,0.6939249700579253,Media
1840058,"2-[(4-isopropylphenyl)methylamino]-5,6-dimethyl-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=C(N=C2N=C(NN2C1=O)NCC3=CC=C(C=C3)C(C)C)C,C17H21N5O,5,2,4,2.769940000000001,311.174610292,23,75.08,0.3063399041022909,0,0.967931513344093,0.1690140845070422,0.3687434417163049,0.5684727989255676,0.7682021561348302,0.4044676236651925,0.2877781644127318,Media
936609,N-[(2-chlorophenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3Cl,C15H14ClN3,3,1,3,3.838800000000002,271.08762512799996,19,29.85,0.6365159128978224,0,0.9581408672586926,0.574468085106383,0.6703862806444605,0.7663044761825378,0.8622226717206152,0.7419038679480451,0.7182802220055895,Media
3324798,N-[[4-(dimethylamino)phenyl]methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)N(C)C,C19H24N4,4,1,6,4.124400000000002,308.200096768,23,33.09,0.6950740404956179,0,0.9044397478775577,0.3793103448275862,0.510592695590079,0.641875046352572,0.7731573971150648,0.5857161024277987,0.5344706179071061,Media
