cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
164576216,6-chloro-2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-1H-benzimidazole,C1=CC2=C(C=C1Cl)NC(=N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C12H9Cl2N5O2,5,1,4,3.2268000000000017,325.013329888,21,89.64,0.2342704149933065,0,Alta,0.856,0.303030303030303,0.9642432583517744,0.7989400195214066
324550,2-(3-thienyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CSC=C3,C11H8N2S,2,1,1,3.291400000000001,200.040819256,14,28.68,0.4881450488145049,0,Alta,0.856,0.2363636363636363,0.7991211911046335,0.6584318024193843
135391693,N-(m-tolyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,CC1=CC(=CC=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C19H14N4O4,5,2,4,4.291820000000002,362.10150492799994,27,114.06,0.2367175170962651,0,Alta,0.854,0.5666666666666667,0.9686524213386872,0.8681559826706822
135391728,N-(2-chlorophenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,C1=CC=C(C(=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Cl,C18H11ClN4O4,5,2,4,4.636800000000002,382.046882512,27,114.06,0.2367175170962651,0,Alta,0.854,0.4761904761904761,0.9669212214250984,0.8442385351164429
135391757,N-(3-methoxyphenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,COC1=CC=CC(=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C19H14N4O5,6,2,5,3.992000000000002,378.0964195479999,28,123.29,0.2271068213155974,0,Alta,0.854,0.4696969696969697,0.9613223057198176,0.8384159717141056
135391755,"N-(2,4-dimethylphenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide",CC1=CC(=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])C,C20H16N4O4,5,2,4,4.600240000000002,376.11715499199994,28,114.06,0.2454848325442749,0,Alta,0.852,0.5932203389830508,0.9650509458886368,0.8720932941622404
135391800,N-(3-chloro-4-methoxy-phenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,COC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Cl,C19H13ClN4O5,6,2,5,4.645400000000002,412.05744719599994,29,123.29,0.2352177792197258,0,Alta,0.852,0.4558823529411764,0.9616317750078934,0.8351944194912142
14592768,6-methyl-2-(5-nitro-2-furyl)-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC=C(O3)[N+](=O)[O-],C12H9N3O3,4,1,2,3.0395200000000004,243.064391148,18,84.96,0.211864406779661,0,Alta,0.85,0.813953488372093,1.0000000000000002,0.9534883720930236
53325080,N'-(3-chlorobenzoyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carbohydrazide,C1=CC(=CC(=C1)Cl)C(=O)NNC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C19H12ClN5O5,6,3,4,3.4593000000000007,425.052696164,30,143.16,0.2095557418273261,0,Alta,0.85,0.4838709677419355,0.9318358113276884,0.8198446004312502
20767472,"2-(3,5-dimethylphenyl)-1H-benzimidazole",CC1=CC(=CC(=C1)C2=NC3=CC=CC=C3N2)C,C15H14N2,1,1,1,3.8467400000000023,222.115698448,17,28.68,0.592747559274756,0,Alta,0.85,0.34,0.7341678107963447,0.6356258580972585
164576215,2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-6-fluoro-1H-benzimidazole,C1=CC2=C(C=C1F)NC(=N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C12H9ClFN5O2,5,1,4,2.7125000000000012,309.042880428,21,89.64,0.2342704149933065,0,Alta,0.85,0.2985074626865671,0.9533699714429048,0.7896543442538204
9992031,2-(5-nitro-2-furyl)-3H-benzimidazol-5-amine,C1=CC2=C(C=C1N)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H8N4O3,5,2,2,2.3133,244.059640116,18,110.98000000000002,0.1621913858352856,0,Alta,0.848,0.625,0.9411879842330472,0.8621409881747855
135391749,"N-(3,5-dimethylphenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide",CC1=CC(=CC(=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])C,C20H16N4O4,5,2,4,4.600240000000002,376.11715499199994,28,114.06,0.2454848325442749,0,Alta,0.848,0.5689655172413793,0.9650509458886368,0.8660295887268226
19224653,"2-(3,4-dichlorophenyl)-6-methyl-1H-benzimidazole",CC1=CC2=C(C=C1)N=C(N2)C3=CC(=C(C=C3)Cl)Cl,C14H10Cl2N2,1,1,1,4.845120000000001,276.02210368,18,28.68,0.6276150627615062,0,Alta,0.848,0.3333333333333333,0.7235974238203753,0.6260314011986149
135391756,"N-(2,5-dimethylphenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide",CC1=CC(=C(C=C1)C)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C20H16N4O4,5,2,4,4.600240000000003,376.11715499199994,28,114.06,0.2454848325442749,0,Alta,0.844,0.5932203389830508,0.9650509458886368,0.8720932941622404
